"Timestamp","Value","Value1"
1519829400,0.0,664.0
1519829700,0.0,664.0
1519830000,0.0,664.0
1519830300,1.0,663.0
1519830600,123.0,541
1519830900,0.0,664.0
1519831200,0.0,664.0
1519831500,0.0,664.0
1519831800,0.0,664.0
1519832100,0.0,664.0
1519832400,0.0,664.0
1519832700,0.0,664.0
1519833000,0.0,664.0
1519833300,0.0,664.0
1519833600,0.0,664.0
1519833900,0.0,664.0
1519834200,0.0,664.0
1519834500,0.0,664.0
1519834800,0.0,664.0
1519835100,0.0,664.0
1519835400,0.0,664.0
1519835700,0.0,664.0
1519836000,0.0,664.0
1519836300,0.0,664.0
1519836600,0.0,664.0
1519836900,0.0,664.0
1519837200,0.0,664.0
1519837500,0.0,664.0
1519837800,0.0,664.0
1519838100,0.0,664.0
1519838400,0.0,664.0
1519838700,0.0,664.0
1519839000,0.0,664.0
1519839300,0.0,664.0
1519839600,0.0,664.0
1519839900,0.0,664.0
1519840200,0.0,664.0
1519840500,0.0,664.0
1519840800,0.0,664.0
1519841100,0.0,664.0
1519841400,0.0,664.0
1519841700,0.0,664.0
1519842000,0.0,664.0
1519842300,0.0,664.0
1519842600,0.0,664.0
1519842900,0.0,664.0
1519843200,0.0,664.0
1519843500,0.0,664.0
1519843800,0.0,664.0
1519844100,0.0,664.0
